,title,subtitle,location_x,currency,price,description,other_details,bed,bath,toilet,area,prop_type,location_y,match,pricerange
19651,3 BEDROOM FLAT / APARTMENT FOR RENT,Very lovely 3bedroom flat apartment,Off orchid hotel road by 2nd toll gateChevron Lekki Lagos,naira,1800000,Very lovely 3bedroom flat apartment, FOR RENT: Very lovely 3bedroom flat with balcony available for rent. Nepa Light is guarant.. Read more ,3,3,4,Lekki,Flat,Off orchid hotel road by 2nd toll gateChevron Lekki Lagos,Second Tollgate Lekki,1.1M-2M
19654,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built luxury 3 bedroom flat and BQ available for letting,Ikate ElegushiIkate Lekki Lagos,naira,2500000,Newly built luxury 3 bedroom flat and BQ available for letting, FOR RENT: A lovely fully serviced 6units if of 3 bedroom flat and BQ in a modern setting n.. Read more ,3,3,4,Lekki,Flat,Ikate ElegushiIkate Lekki Lagos,Ikate Lekki,2.1M-5M
19655,3 BEDROOM FLAT / APARTMENT FOR RENT,A very sweet and spacious 3bedroom flat now available to Let,Idado estateIdado Lekki Lagos,naira,2000000,A very sweet and spacious 3bedroom flat now available to Let, FOR RENT: Available in an estate Rent: 3M Service charge: 900k.. Read more ,3,3,4,Lekki,Flat,Idado estateIdado Lekki Lagos,Idado Lekki,1.1M-2M
19658,3 BEDROOM FLAT / APARTMENT FOR RENT,Massively spacious 3 bedroom flat apartment and a BQ to let,Lekki rightLekki Phase 1 Lekki Lagos,naira,3800000,Massively spacious 3 bedroom flat apartment and a BQ to let, FOR RENT: Serviced apartment with facility maintenance team on site... Read more ,3,3,4,Lekki,Flat,Lekki rightLekki Phase 1 Lekki Lagos,Lekki Right,2.1M-5M
19662,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built luxury 3 bedroom flat,Off Ologolo roadOlogolo Lekki Lagos,naira,2600000,Newly built luxury 3 bedroom flat, FOR RENT: Very crisp and lovely newly built 3bed flat and BQ in a nice residential area (n.. Read more ,3,3,4,Lekki,Flat,Off Ologolo roadOlogolo Lekki Lagos,Lekki,2.1M-5M
19665,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built luxury 3 bedroom flat available for letting with pool and GY.,By Pinnock BeachAgungi Lekki Lagos,naira,2500000,Newly built luxury 3 bedroom flat available for letting with pool and GY.," FOR RENT: Fully serviced apartments with 24hours light, clean treated water, high end inte.. Read more ",3,3,4,Lekki,Flat,By Pinnock BeachAgungi Lekki Lagos,Agungi Lekki,2.1M-5M
19667,3 BEDROOM FLAT / APARTMENT FOR RENT,Lxury 3 bedroom flat and a BQ with superb fitted kitchen available for letting,Lekki county estateIkota Lekki Lagos,naira,2000000,Lxury 3 bedroom flat and a BQ with superb fitted kitchen available for letting, FOR RENT: A serviced 3 bedroom flat apartment. Very big compound with more than enough p.. Read more ,3,3,4,Lekki,Flat,Lekki county estateIkota Lekki Lagos,Ikota Lekki,1.1M-2M
19670,3 BEDROOM FLAT / APARTMENT FOR RENT,Lovely Three Bedroom Flat and a BQ available for rent,Off Admiralty RoadLekki Phase 1 Lekki Lagos,naira,3000000,Lovely Three Bedroom Flat and a BQ available for rent, FOR RENT: Serviced 3 bedroom flat apartment in a lovely serene environment. Good road conn.. Read more ,3,3,4,Lekki,Flat,Off Admiralty RoadLekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
19676,3 BEDROOM FLAT / APARTMENT FOR RENT,Very neat and lovely 3bedroom flat apartment ,Chevy view estateChevron Lekki Lagos,naira,2300000,Very neat and lovely 3bedroom flat apartment , FOR RENT: Available.. Read more ,3,3,4,Lekki,Flat,Chevy view estateChevron Lekki Lagos,Chevron Lekki,2.1M-5M
19677,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built serviced luxury 3 bedroom flat available for letting,OlogoloOlogolo Lekki Lagos,naira,1800000,Newly built serviced luxury 3 bedroom flat available for letting, FOR RENT: A very spacious 3bedroom flat apartment in a good residential area with good sec.. Read more ,3,3,4,Lekki,Flat,OlogoloOlogolo Lekki Lagos,Ologolo Lekki,1.1M-2M
19678,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built Ground floor unit of a 3bedroom flat available ,Oral estateIkota Lekki Lagos,naira,1800000,Newly built Ground floor unit of a 3bedroom flat available , FOR RENT: A lovely 3bed apartment in a lovely and secured estate where you have to get acc.. Read more ,3,3,4,Lekki,Flat,Oral estateIkota Lekki Lagos,Ikota Lekki,1.1M-2M
19685,3 BEDROOM FLAT / APARTMENT FOR RENT,Very neat Nice and lovely 3bedroom flat available to let in an area where there is steady electricity (only 4 people in the compound),OlogoloOlogolo Lekki Lagos,naira,1600000,Very neat Nice and lovely 3bedroom flat available to let in an area where there is steady electricity (only 4 people in the compound), FOR RENT: Neat and nice. Pay and pack in.. Read more ,3,3,4,Lekki,Flat,OlogoloOlogolo Lekki Lagos,Ologolo Lekki,1.1M-2M
19688,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built luxury 3 bedroom flat available for letting,Osapa LondonOsapa London Lekki Lagos,naira,3000000,Newly built luxury 3 bedroom flat available for letting, FOR RENT: Very lovely newly built unit of 3bedrooms flat apartment available for rent in a.. Read more ,3,3,4,Lekki,Flat,Osapa LondonOsapa London Lekki Lagos,Osapa London Lekki,2.1M-5M
19693,3 BEDROOM FLAT / APARTMENT FOR RENT,Two unit of luxury 3 bedroom flat available for letting,3bedroom flat to let at Lekki phase oneLekki Phase 1 Lekki Lagos,naira,2800000,Two unit of luxury 3 bedroom flat available for letting," FOR RENT: Massive and very clean,modern 3 bedroom flat now available in a very strategic l.. Read more ",3,3,4,Lekki,Flat,3bedroom flat to let at Lekki phase oneLekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
19694,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built serviced 3 bedroom flat available for letting,Off Freedom wayLekki Phase 1 Lekki Lagos,naira,3000000,Newly built serviced 3 bedroom flat available for letting, FOR RENT: Lovely fully serviced 3bedroom apartment in a mini estate with 24/7 power supply.. Read more ,3,3,4,Lekki,Flat,Off Freedom wayLekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
19696,3 BEDROOM FLAT / APARTMENT FOR RENT,Fully serviced luxury 3 bedroom flat and a BQ available for letting with 24hours electricity supply ,Lekki rightLekki Phase 1 Lekki Lagos,naira,3500000,Fully serviced luxury 3 bedroom flat and a BQ available for letting with 24hours electricity supply ," FOR RENT: Only ground floor is available. Comes with swimming pool, GYM, fitted kitchen a.. Read more ",3,3,4,Lekki,Flat,Lekki rightLekki Phase 1 Lekki Lagos,Lekki Right,2.1M-5M
19699,3 BEDROOM FLAT / APARTMENT FOR RENT,Very clean and neatly maintained 3 bedroom luxury flat,Idado estateIdado Lekki Lagos,naira,2000000,Very clean and neatly maintained 3 bedroom luxury flat, FOR RENT: Available Service fee is 250k including all utilities excluding diesel. There i.. Read more ,3,3,4,Lekki,Flat,Idado estateIdado Lekki Lagos,Idado Lekki,1.1M-2M
19701,3 BEDROOM FLAT / APARTMENT FOR RENT,Three units of Newly Renovated 3 Bedroom flat in a serene environment off fola osibo,Off Fola Osibo roadLekki Phase 1 Lekki Lagos,naira,3200000,Three units of Newly Renovated 3 Bedroom flat in a serene environment off fola osibo, FOR RENT: A neat 3bedroom flat within a spacious compound. Area is serene and a great neig.. Read more ,3,3,4,Lekki,Flat,Off Fola Osibo roadLekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
19704,3 BEDROOM FLAT / APARTMENT FOR RENT,A very sweet and spacious fully serviced new 3bedroom flat now available to Let at Lekki(8flats in the compound),Lekki phase 1Lekki Phase 1 Lekki Lagos,naira,4000000,A very sweet and spacious fully serviced new 3bedroom flat now available to Let at Lekki(8flats in the compound), FOR RENT: A New Luxury and Contemporary Designed En-suite 3 Bedroom Apartment With elevato.. Read more ,3,3,4,Lekki,Flat,Lekki phase 1Lekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
19705,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built luxury 3 bedroom flat available for letting,Osapa LondonOsapa London Lekki Lagos,naira,2000000,Newly built luxury 3 bedroom flat available for letting, FOR RENT: Very lovely house with ample parking space.. Read more ,3,3,4,Lekki,Flat,Osapa LondonOsapa London Lekki Lagos,Osapa London Lekki,1.1M-2M
19708,3 BEDROOM FLAT / APARTMENT FOR RENT,Very neat Nice and lovely 3bedroom flat available to let in an area where there is steady electricity (only 4 people in the compound),Off Admiralty roadLekki Phase 1 Lekki Lagos,naira,3000000,Very neat Nice and lovely 3bedroom flat available to let in an area where there is steady electricity (only 4 people in the compound), FOR RENT: Very lovely newly built unit of 3 bedrooms flat apartment available for rent in .. Read more ,3,3,4,Lekki,Flat,Off Admiralty roadLekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
19709,3 BEDROOM FLAT / APARTMENT FOR RENT,Fully serviced luxury 3 bedroom flat and a BQ available for letting with 24hours electricity supply ,Off freedom wayLekki Phase 1 Lekki Lagos,naira,3500000,Fully serviced luxury 3 bedroom flat and a BQ available for letting with 24hours electricity supply , FOR RENT: Newly built Well finished Spacious livingroom and bedrooms Spacious fitted ki.. Read more ,3,3,4,Lekki,Flat,Off freedom wayLekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
19710,3 BEDROOM FLAT / APARTMENT FOR RENT,Very neat Nice and lovely 3bedroom flat available to let in a residential estate,Off Chevron driveChevron Lekki Lagos,naira,2000000,Very neat Nice and lovely 3bedroom flat available to let in a residential estate, FOR RENT: A very spacious 3bedroom flat apartment in a good residential area with good sec.. Read more ,3,3,4,Lekki,Flat,Off Chevron driveChevron Lekki Lagos,Chevron Lekki,1.1M-2M
19718,3 BEDROOM FLAT / APARTMENT FOR RENT,Three bedroom flat available for rent in a serene environment,Lekki rightLekki Phase 1 Lekki Lagos,naira,2000000,Three bedroom flat available for rent in a serene environment," FOR RENT: A well maintained flat, self serviced and with ample parking space. Available fo.. Read more ",3,3,4,Lekki,Flat,Lekki rightLekki Phase 1 Lekki Lagos,Lekki Right,1.1M-2M
19722,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built 3bedroom flat and a bq (Serviced),Off KusenlaIkate Lekki Lagos,naira,2000000,Newly built 3bedroom flat and a bq (Serviced), FOR RENT: Very neat and lovely 3 bedroom flat apartment in a developing area off Kusenla. .. Read more ,3,3,4,Lekki,Flat,Off KusenlaIkate Lekki Lagos,Ikate Lekki,1.1M-2M
19727,3 BEDROOM FLAT / APARTMENT FOR RENT,Very neat Nice and lovely 3bedroom flat available to let in a block of flat overlooking the ocean,Palace roadOniru Victoria Island Lagos,naira,4500000,Very neat Nice and lovely 3bedroom flat available to let in a block of flat overlooking the ocean, FOR RENT: Absolutely fantastic and spacious 3bedroom flat with BQ in an ocean facing block.. Read more ,3,2,4,Island,Flat,Palace roadOniru Victoria Island Lagos,Victoria Island,2.1M-5M
19730,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built luxury 3 bedroom flat available for letting (Massive parking space available),OsapaOsapa London Lekki Lagos,naira,2500000,Newly built luxury 3 bedroom flat available for letting (Massive parking space available), FOR RENT: Available for residential tenants.. Read more ,3,3,4,Lekki,Flat,OsapaOsapa London Lekki Lagos,Osapa London Lekki,2.1M-5M
19731,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built luxury 3 bedroom flat available for letting,Ikate ElegushiIkate Lekki Lagos,naira,2500000,Newly built luxury 3 bedroom flat available for letting, FOR RENT: Newly built lovely 3bedroom apartment upstairs with great view and spacious comp.. Read more ,3,3,4,Lekki,Flat,Ikate ElegushiIkate Lekki Lagos,Ikate Lekki,2.1M-5M
19732,3 BEDROOM FLAT / APARTMENT FOR RENT,Neatly maintained serviced 3bedroom flat apartment now available for rent,Off Palace roadOniru Victoria Island Lagos,naira,4000000,Neatly maintained serviced 3bedroom flat apartment now available for rent," FOR RENT: Exquisitely built & Serviced Three Bedrooms Flat off Palace road, Oniru Featu.. Read more ",3,3,4,Island,Flat,Off Palace roadOniru Victoria Island Lagos,Victoria Island,2.1M-5M
19733,3 BEDROOM FLAT / APARTMENT FOR RENT,Well maintained 3 bedroom flat and BQ ,Off Fola OsiboLekki Phase 1 Lekki Lagos,naira,3000000,Well maintained 3 bedroom flat and BQ , FOR RENT: Lovely spacious 3 bedroom flat occupying the whole upstairs and just 2 tenants i.. Read more ,3,3,4,Lekki,Flat,Off Fola OsiboLekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
19739,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built luxury 3 bedroom flat available for letting,Ilasan Lekki Lagos,naira,2000000,Newly built luxury 3 bedroom flat available for letting, FOR RENT: Self serviced apartment with 4 tenants in the compound. Spacious compound with a.. Read more ,3,3,4,Lekki,Flat,Ilasan Lekki Lagos,Ilasan Lekki,1.1M-2M
19744,3 BEDROOM FLAT / APARTMENT FOR RENT,"Superb fully serviced 3 bedroom flat and a BQ with swimming pool, GYM and elevators available (Expats only)",Off Admiralty wayLekki Phase 1 Lekki Lagos,naira,3500000,"Superb fully serviced 3 bedroom flat and a BQ with swimming pool, GYM and elevators available (Expats only)"," FOR RENT: Fully serviced luxury 3bedroom flat with Swimming pool, GYM, fitted kitchen, mas.. Read more ",3,3,4,Lekki,Flat,Off Admiralty wayLekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
19750,3 BEDROOM FLAT / APARTMENT FOR RENT,Lovely 3 bedroom flat apartment for rent,Ologolo roadOlogolo Lekki Lagos,naira,1500000,Lovely 3 bedroom flat apartment for rent, FOR RENT: Very lovely. Pay and pack in. Total package is 1.9M.. Read more ,3,3,4,Lekki,Flat,Ologolo roadOlogolo Lekki Lagos,Lekki,1.1M-2M
19752,3 BEDROOM FLAT / APARTMENT FOR RENT,Furnished luxury 3bedroom flat serviced apartment now available,Off Admiralty wayLekki Phase 1 Lekki Lagos,naira,3500000,Furnished luxury 3bedroom flat serviced apartment now available," FOR RENT: A fully serviced luxury 3bedroom apartment with very spacious rooms, sitting and.. Read more ",3,3,4,Lekki,Flat,Off Admiralty wayLekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
19755,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built luxury 3 bedroom flat available for letting,Femi Okunnu wayJakande Lekki Lagos,naira,3000000,Newly built luxury 3 bedroom flat available for letting, FOR RENT: Massively spacious kitchen with best of cabinets. intercoms in all the building.. Read more ,3,3,4,Lekki,Flat,Femi Okunnu wayJakande Lekki Lagos,Jakande Lekki,2.1M-5M
19756,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built 3 bedroom flat available for letting,Ikota Villa estateIkota Lekki Lagos,naira,1700000,Newly built 3 bedroom flat available for letting," FOR RENT: A lovely spacious 3bedroom flat apartment in side the estate, now available for .. Read more ",3,3,4,Lekki,Flat,Ikota Villa estateIkota Lekki Lagos,Ikota Lekki,1.1M-2M
19762,3 BEDROOM FLAT / APARTMENT FOR RENT,Sharp 3bedroom serviced apartment with a room bq in mini estate at Allen avenue,Allen Avenue Ikeja Lagos,naira,2500000,Sharp 3bedroom serviced apartment with a room bq in mini estate at Allen avenue, FOR RENT: Serviced 3bedroom flat with a room bq.. Read more ,3,3,4,Ikeja,Flat,Allen Avenue Ikeja Lagos,Allen Ikeja,2.1M-5M
19764,3 BEDROOM FLAT / APARTMENT FOR RENT,Sharp 3bedroom flat at Akiode ojodu before grammar school,Berger Ojodu Lagos,naira,600000,Sharp 3bedroom flat at Akiode ojodu before grammar school, FOR RENT: 3bedroom flat .. Read more ,3,3,2,Ojodu,Flat,Berger Ojodu Lagos,Berger Ojodu,501k-1M
19765,3 BEDROOM FLAT / APARTMENT FOR RENT,3bedroom office space,Allen Avenue Ikeja Lagos,naira,1200000,3bedroom office space, FOR RENT: 3bedroom office space.. Read more ,3,3,3,Ikeja,Flat,Allen Avenue Ikeja Lagos,Allen Ikeja,1.1M-2M
19779,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built 3 bedroom flat ,Harmony Ago40 Estate Alimosho iyana-ipaja Extension Alimosho Lagos,naira,600000,Newly built 3 bedroom flat , FOR RENT: It is lovely and newly built 3 bedroom flat with pop wardrobes kitchen cabinets .. Read more ,3,3,3,Alimosho,Flat,Harmony Ago40 Estate Alimosho iyana-ipaja Extension Alimosho Lagos,Iyana Ipaja,501k-1M
19781,3 BEDROOM FLAT / APARTMENT FOR RENT,new two unit of 3 bedroom Sitting on a Full Plot measuring 60/120 ,...Ajah Lagos,naira,1500000,new two unit of 3 bedroom Sitting on a Full Plot measuring 60/120 , FOR RENT: Tetra annex Estate sangotedo Brief: 1. A new two unit of 3 bedroom Sitti.. Read more ,3,0,0,...Ajah,Flat,...Ajah Lagos,Ajah,1.1M-2M
19782,3 BEDROOM FLAT / APARTMENT FOR RENT,Brand new 3 bedroom flat,...Alimosho Lagos,naira,600000,Brand new 3 bedroom flat," FOR RENT: Brand new 3bedroom flat @harmony Estate, Iyana Ipaja Yearly rent 600k.. Read more ",3,3,2,...Alimosho,Flat,...Alimosho Lagos,Alimosho,501k-1M
19783,3 BEDROOM FLAT / APARTMENT FOR RENT,Lovely 3bedroom flat,...Soluyi Gbagada Lagos,naira,1200000,Lovely 3bedroom flat," FOR RENT: Lovely 3bedroom flat with 3toilets, 2bathrooms, private staircase. Upstairs flat.. Read more ",3,0,0,Gbagada,Flat,...Soluyi Gbagada Lagos,Soluyi Gbagada,1.1M-2M
19788,3 BEDROOM FLAT / APARTMENT FOR RENT,Brand new 3bedroom flat ,-Mangoro Ikeja Lagos,naira,1000000,Brand new 3bedroom flat ," FOR RENT: Brand new 3bedroom Flat a Onipetesi estate Mangoro,ikeja 1,000,000 yearly rent.. Read more ",3,3,3,Ikeja,Flat,#NAME?,Mangoro,501k-1M
19789,3 BEDROOM FLAT / APARTMENT FOR RENT,3bedroom flat ,...Akowonjo Alimosho Lagos,naira,800000,3bedroom flat , FOR RENT: 3bedroom Flat at Santos Estate Akowonjo 800k yearly rent. All rooms ensuite wit.. Read more ,3,3,4,Alimosho,Flat,...Akowonjo Alimosho Lagos,Akowonjo,501k-1M
19790,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built 3bedroom flat ,...Alimosho Lagos,naira,600000,Newly built 3bedroom flat ," FOR RENT: Good newly built house. 3bedroom flat Iyana-ipaja area Rent is N600,000... Read more ",3,2,3,...Alimosho,Flat,...Alimosho Lagos,Alimosho,501k-1M
19802,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built 3bedroom ,Opposite Abraham Adesanya estateAbraham Adesanya Estate Ajah Lagos,naira,1800000,Newly built 3bedroom , FOR RENT: TO LET @ AJAH OPPOSITE ABRAHAM ADESENYA 3bed Maisonette Rent: 1.8m Service.. Read more ,3,,,Ajah,Flat,Opposite Abraham Adesanya estateAbraham Adesanya Estate Ajah Lagos,Ajah,1.1M-2M
19803,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built 3bedroom flat in sangotedo,Good news estateSangotedo Ajah Lagos,naira,1480000,Newly built 3bedroom flat in sangotedo, FOR RENT: New Built 3 bedroom Apartment for Rent ?? Location-- Sangotedo (Good news Es.. Read more ,3,,,Ajah,Flat,Good news estateSangotedo Ajah Lagos,Sangotedo Ajah,1.1M-2M
19806,3 BEDROOM FLAT / APARTMENT FOR RENT,20 units fully service 3 bedrooms flat,Ikeja Gra Ikeja Lagos,naira,8000000,20 units fully service 3 bedrooms flat," FOR RENT: 20 units 3 bedroom service and partially furnished luxury flat with bq, air co.. Read more ",3,3,4,Ikeja,Flat,Ikeja Gra Ikeja Lagos,GRA Ikeja,Above 5M
19807,3 BEDROOM FLAT / APARTMENT FOR RENT," block of 12 flats, comprises of 3 bedrooms each for rent",Awuse estateOpebi Ikeja Lagos,naira,2500000," block of 12 flats, comprises of 3 bedrooms each for rent", FOR RENT: This is a Newly built 12 units of 3 bedroom flat with all room ensuite and a roo.. Read more ,3,3,4,Ikeja,Flat,Awuse estateOpebi Ikeja Lagos,Opebi Ikeja,2.1M-5M
19811,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedrooms Apartment,Ikeja Gra Ikeja Lagos,naira,8000000,3 bedrooms Apartment," FOR RENT: 20 units 3 bedroom service and partially furnished luxury flat with bq, air co.. Read more ",3,3,4,Ikeja,Flat,Ikeja Gra Ikeja Lagos,GRA Ikeja,Above 5M
19815,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedrooms flat for rent,Bye Pass Ilupeju Ilupeju Lagos,naira,2700000,3 bedrooms flat for rent," FOR RENT: *Newly Renovated and Very Spacious _4 nos 3 Bedroom Flat all room ensuite, each .. Read more ",3,3,4,Ilupeju,Flat,Bye Pass Ilupeju Ilupeju Lagos,Ilupeju,2.1M-5M
19833,3 BEDROOM FLAT / APARTMENT FOR RENT,luxury serviced 3 bedroom flat + bq to let ,Off Chris maduekwe streetLekki Phase 1 Lekki Lagos,naira,3000000,luxury serviced 3 bedroom flat + bq to let ," FOR RENT: Luxury serviced 3 bedroom flat plus bq to let off Chris maduekwe street, lekki p.. Read more ",3,3,,Lekki,Flat,Off Chris maduekwe streetLekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
19835,3 BEDROOM FLAT / APARTMENT FOR RENT,luxury 3 bedroom apartment + bq furnished to let ,"off Aso street, Parkview estate IkoyiParkview Estate Ikoyi Lagos",naira,5000000,luxury 3 bedroom apartment + bq furnished to let ," FOR RENT: luxury furnished 3 bedroom flat to let off aso street parkview estate, Ikoyi .. Read more ",3,3,4,Ikoyi,Flat,"off Aso street, Parkview estate IkoyiParkview Estate Ikoyi Lagos",Parkview Ikoyi,2.1M-5M
19837,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat,Godwin omonuwa street Ire Akari Isolo Lagos,naira,1000000,3 bedroom flat," FOR RENT: 3 rooms, sitting /dinning area,kitchen /kitchen store,all rooms has curtain rail.. Read more ",3,2,3,Isolo,Flat,Godwin omonuwa street Ire Akari Isolo Lagos,Ire Akari Isolo,501k-1M
19838,3 BEDROOM FLAT / APARTMENT FOR RENT,serviced 3 bedroom flat plus bq to let ,off eko street parkview estateParkview Estate Ikoyi Lagos,naira,4000000,serviced 3 bedroom flat plus bq to let ," FOR RENT: service 3 bedroom flat plus bq to let off eko street parkview estate, ikoyi, Lag.. Read more ",3,3,4,Ikoyi,Flat,off eko street parkview estateParkview Estate Ikoyi Lagos,Parkview Ikoyi,2.1M-5M
19853,3 BEDROOM FLAT / APARTMENT FOR RENT,8 Units of 3-Bedroom Flats ,...Victoria Island Lagos,naira,6000000,8 Units of 3-Bedroom Flats , FOR RENT: 3 bedroom Flat / Apartment for rent Victoria Island Lagos.. Read more ,3,3,4,Island,Flat,...Victoria Island Lagos,Victoria Island,Above 5M
19857,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Serviced Apartment,AgungiAgungi Lekki Lagos,naira,2000000,3 Bedroom Serviced Apartment, FOR RENT: 3 Bedroom serviced Apartment in Agungi All en suite bedrooms Spacious living.. Read more ,3,4,3,Lekki,Flat,AgungiAgungi Lekki Lagos,Agungi Lekki,1.1M-2M
19865,3 BEDROOM FLAT / APARTMENT FOR RENT,Beautiful 3 bedroom flat with Bq,Oniru Victoria Island Lagos,naira,4000000,Beautiful 3 bedroom flat with Bq, FOR RENT: Beautiful 3 Bedroom flat with bq Rent-4m S/c-1.3m Caution-250k Agency-10% .. Read more ,3,3,3,Island,Flat,Oniru Victoria Island Lagos,Victoria Island,2.1M-5M
19877,3 BEDROOM FLAT / APARTMENT FOR RENT,4 Unit of 3 Bedroom Apartments with a Maid Room,Lekki Phase 1 Lekki Lagos,naira,4500000,4 Unit of 3 Bedroom Apartments with a Maid Room, FOR RENT: 4 Units of 3 bedroom apartments with a maids room All room ensuite Location.. Read more ,3,3,4,Lekki,Flat,Lekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
19891,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built 3 bedroom flat with Bq for rent Oniru,Oniru Victoria Island Lagos,naira,3700000,Newly built 3 bedroom flat with Bq for rent Oniru, FOR RENT: Brand new 3Bedroom flat with bq for rent. Rent-3.7 Caution-200k Service Cha.. Read more ,3,,,Island,Flat,Oniru Victoria Island Lagos,Victoria Island,2.1M-5M
19898,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom apartment in Oniru ,OniruOniru Victoria Island Lagos,naira,5000000,3 bedroom apartment in Oniru , FOR RENT: Rental: N5 Million Service charge : N500k Agency 10% All ensuite bedroom .. Read more ,3,3,4,Island,Flat,OniruOniru Victoria Island Lagos,Victoria Island,2.1M-5M
19899,3 BEDROOM FLAT / APARTMENT FOR RENT,Renovated Decent 3 bedroom flat and self contain all tiles floor pop ceiling on half plot of land fenced gate ,Araronmi IgandoAkesan Alimosho Lagos,naira,7000000,Renovated Decent 3 bedroom flat and self contain all tiles floor pop ceiling on half plot of land fenced gate , FOR RENT: Renovated Decent 3 bedroom flat and self contain all tiles floor pop ceiling on.. Read more ,3,3,3,Alimosho,Flat,Araronmi IgandoAkesan Alimosho Lagos,Akesan,Above 5M
19904,3 BEDROOM FLAT / APARTMENT FOR RENT,Amazing 3 bedroom flat with Bq for rent ,Lekki Phase 1 Lekki Lagos,naira,4000000,Amazing 3 bedroom flat with Bq for rent , FOR RENT: Amazing 3 bedroom flat with bq For rent Price: 4M Location: Lekki phase 1 .. Read more ,3,3,3,Lekki,Flat,Lekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
19908,3 BEDROOM FLAT / APARTMENT FOR RENT,Amazing 3 bedroom apartment ,...Onike Yaba Lagos,naira,1300000,Amazing 3 bedroom apartment , FOR RENT: A very lovely 3bedroom apartment available in a peaceful street . First come fi.. Read more ,3,3,3,Yaba,Flat,...Onike Yaba Lagos,Onike Yaba,1.1M-2M
19909,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly Built 3 Bedroom Flat in a Close Steeet,Fatai StreetEputu Ibeju Lekki Lagos,naira,900000,Newly Built 3 Bedroom Flat in a Close Steeet, FOR RENT: 3 Bedroom Flat in a mint state All rooms are Ensuite with wordrobes Features *.. Read more ,3,3,4,Lekki,Flat,Fatai StreetEputu Ibeju Lekki Lagos,Ibeju Lekki,501k-1M
19911,3 BEDROOM FLAT / APARTMENT FOR RENT,Beautiful Look 3 Bedroom Apartments,OniruOniru Victoria Island Lagos,naira,4000000,Beautiful Look 3 Bedroom Apartments, FOR RENT: Beautiful view 3 bedroom apartments to let All room ensuite Fitted kitchen .. Read more ,3,3,4,Island,Flat,OniruOniru Victoria Island Lagos,Victoria Island,2.1M-5M
19924,3 BEDROOM FLAT / APARTMENT FOR RENT,Fantastic 3 bedroom self serviced flat,- Osapa London Lekki Lagos,naira,2200000,Fantastic 3 bedroom self serviced flat, FOR RENT: Fantastic 3Bedroom self serviced flat for rent. Rent-2.2m Agent-10% Legal-5% .. Read more ,3,3,0,Lekki,Flat,#NAME?,Osapa London Lekki,2.1M-5M
19929,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedrooms Apartment,.Magodo Gra Phase 1 Ojodu Lagos,naira,800000,3 Bedrooms Apartment," FOR RENT: 3 bedroom for rent Magodo, Kosofe/Ikosi, Lagos Arepo and environ.. Read more ",3,,,Ojodu,Flat,.Magodo Gra Phase 1 Ojodu Lagos,Magodo Phase 1,501k-1M
19930,3 BEDROOM FLAT / APARTMENT FOR RENT,Amazing 3 bedroom apartment,...Onike Yaba Lagos,naira,1300000,Amazing 3 bedroom apartment, FOR RENT: 3 bedroom apartment available in Serene environment Very cozy house next to mf.. Read more ,3,3,3,Yaba,Flat,...Onike Yaba Lagos,Onike Yaba,1.1M-2M
